"Result:PS Data traffic LMB-LLG vUGW(2026-03-05 144918)_20260305_144933.csv"
"Save Time:2026-03-05 14:49:33"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LLG_vDGW01;LMB_vCGW01;LMB_vDGW01"

"Function Subset Name:PGW-U 2/3G Forwarding performance measurement;PGW-U Forwarding performance measurement"

"Total 220 records"

"Start Time","Period (min)","NE Name","DGW function","PGW-U 2/3G Gi traffic in MB (MB)","4G Data traffic VDGW(CLOUD) (MB)","PGW-U 2/3G Gn peak throughput in MB/s (MB/s)","User Plane SGi downlink user traffic peak throughput in MB/s (MB/s) (MB/s)"
"2026-03-01 00:00:00","60","LMB_vDGW01","nodeName=dgw","474888","4973432.831","192","1809.207"
"2026-03-01 00:00:00","60","LLG_vDGW01","nodeName=dgw","537785","5541274.171","209","2036.305"
"2026-03-01 01:00:00","60","LMB_vDGW01","nodeName=dgw","316213","3384695.225","110","1102.231"
"2026-03-01 01:00:00","60","LLG_vDGW01","nodeName=dgw","341065","3680134.884","119","1178.744"
"2026-03-01 02:00:00","60","LMB_vDGW01","nodeName=dgw","252490","2600788.184","82","794.845"
"2026-03-01 02:00:00","60","LLG_vDGW01","nodeName=dgw","277489","2793261.046","91","827.727"
"2026-03-01 03:00:00","60","LMB_vDGW01","nodeName=dgw","295017","2460857.26","110","739.684"
"2026-03-01 03:00:00","60","LLG_vDGW01","nodeName=dgw","262355","2491926.246","85","702.862"
"2026-03-01 04:00:00","60","LMB_vDGW01","nodeName=dgw","387198","2977953.473","124","886.742"
"2026-03-01 04:00:00","60","LLG_vDGW01","nodeName=dgw","315357","2844043.032","105","861.035"
"2026-03-01 05:00:00","60","LMB_vDGW01","nodeName=dgw","638864","4820460.906","262","1816.135"
"2026-03-01 05:00:00","60","LLG_vDGW01","nodeName=dgw","562743","4634388.463","240","1699.657"
"2026-03-01 06:00:00","60","LMB_vDGW01","nodeName=dgw","1051486","8610843.936","331","2511.568"
"2026-03-01 06:00:00","60","LLG_vDGW01","nodeName=dgw","1081048","8822037.742","356","2647.312"
"2026-03-01 07:00:00","60","LMB_vDGW01","nodeName=dgw","1134165","10460011.548","346","2799.529"
"2026-03-01 07:00:00","60","LLG_vDGW01","nodeName=dgw","1249160","11167031.075","384","2999.283"
"2026-03-01 08:00:00","60","LMB_vDGW01","nodeName=dgw","1144198","10916054.993","337","2873.697"
"2026-03-01 08:00:00","60","LLG_vDGW01","nodeName=dgw","1266854","11949867.076","394","3258.573"
"2026-03-01 09:00:00","60","LMB_vDGW01","nodeName=dgw","1149510","11380332.022","344","2967.122"
"2026-03-01 09:00:00","60","LLG_vDGW01","nodeName=dgw","1276427","12401453.894","389","3395.253"
"2026-03-01 10:00:00","60","LMB_vDGW01","nodeName=dgw","1193235","11697463.79","352","3085.98"
"2026-03-01 10:00:00","60","LLG_vDGW01","nodeName=dgw","1279283","12764300.028","384","3412.771"
"2026-03-01 11:00:00","60","LMB_vDGW01","nodeName=dgw","1222053","12116243.62","364","3248.301"
"2026-03-01 11:00:00","60","LLG_vDGW01","nodeName=dgw","1289942","12622061.49","389","3346.002"
"2026-03-01 12:00:00","60","LMB_vDGW01","nodeName=dgw","1245207","12340917.118","372","3280.14"
"2026-03-01 12:00:00","60","LLG_vDGW01","nodeName=dgw","1304569","12847955.398","385","3440.864"
"2026-03-01 13:00:00","60","LLG_vDGW01","nodeName=dgw","1339166","13191995.558","408","3595.908"
"2026-03-01 13:00:00","60","LMB_vDGW01","nodeName=dgw","1297640","12729332.533","384","3397.238"
